2026-05-14 23:24:52 | src.llm_engine | ERROR | LLM generation error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-05-14 23:24:52 | src.rag_pipeline | INFO | Query processed — domain: entertainment, emergency: False, sources: ['entertainment.txt']
2026-05-14 23:24:52 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-14 23:24:59 | src.voice_handler | INFO | TTS completed (92 chars)
2026-05-14 23:25:06 | src.domain_classifier | INFO | No keyword match — defaulting to 'companion'
2026-05-14 23:25:06 | src.domain_classifier | INFO | Embedding classification: companion (confidence: 1.000)
2026-05-14 23:25:06 | src.retriever | INFO | Retrieving top-4 chunks for: 'what should i do today...'
2026-05-14 23:25:06 | src.retriever | INFO | Domain filter 'companion': 4 matches
2026-05-14 23:25:06 | src.retriever | INFO | Retrieved 4 chunks
2026-05-14 23:25:06 | src.llm_engine | INFO | Generating response for: 'what should i do today'
2026-05-14 23:25:07 | src.llm_engine | ERROR | LLM generation error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-05-14 23:25:07 | src.rag_pipeline | INFO | Query processed — domain: companion, emergency: False, sources: ['companion.txt']
2026-05-14 23:25:07 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-14 23:25:14 | src.voice_handler | INFO | TTS completed (92 chars)
2026-05-14 23:25:19 | src.domain_classifier | INFO | Domain classified: entertainment (confidence: 0.040)
2026-05-14 23:25:19 | src.domain_classifier | INFO | Embedding classification: entertainment (confidence: 1.000)
2026-05-14 23:25:19 | src.retriever | INFO | Retrieving top-4 chunks for: 'can you recommend me some books...'
2026-05-14 23:25:19 | src.retriever | INFO | Domain filter 'entertainment': 5 matches
2026-05-14 23:25:19 | src.retriever | INFO | Retrieved 4 chunks
2026-05-14 23:25:19 | src.llm_engine | INFO | Generating response for: 'can you recommend me some books'
2026-05-14 23:25:20 | src.llm_engine | ERROR | LLM generation error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-05-14 23:25:20 | src.rag_pipeline | INFO | Query processed — domain: entertainment, emergency: False, sources: ['entertainment.txt']
2026-05-14 23:25:20 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
2026-05-14 23:25:27 | src.voice_handler | INFO | TTS completed (92 chars)
2026-05-14 23:25:35 | src.domain_classifier | INFO | Domain classified: banking (confidence: 0.050)
2026-05-14 23:25:35 | src.domain_classifier | INFO | Embedding classification: banking (confidence: 0.333)
2026-05-14 23:25:35 | src.retriever | INFO | Retrieving top-4 chunks for: 'what should i do for banking safety...'
2026-05-14 23:25:35 | src.retriever | INFO | Retrieved 4 chunks
2026-05-14 23:25:35 | src.llm_engine | INFO | Generating response for: 'what should i do for banking safety'
2026-05-14 23:25:35 | src.llm_engine | ERROR | LLM generation error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-05-14 23:25:35 | src.rag_pipeline | INFO | Query processed — domain: banking, emergency: False, sources: ['technology.txt', 'banking.txt', 'emergency.txt']
2026-05-14 23:25:35 | streamlit_app | WARNING | MLflow logging failed: file://C:\Users\shail\OneDrive\Desktop\Antigravity projects\pcos_decision_fusion\senior_chatbot\mlruns is not a valid remote uri. For remote access on windows, please consider using a different scheme such as SMB (e.g. smb://<hostname>/<path>).
